대출ID,신청일,대출금액,금리(%),기간(개월),신용등급,지역,연령대,대출목적,연체여부,연체일수,상환상태
LN203594,2024-09-08,1820000,8.41,60,3등급,충북,50대,교육비,N,0,상환중
LN204922,2024-09-16,2720000,17.52,60,6등급,울산,30대,기타,N,0,상환중
LN203055,2024-09-12,1660000,12.14,60,4등급,서울,40대,주거자금,N,0,정상
LN200645,2024-11-16,1050000,13.94,12,5등급, 서울,60대 이상,의료비,N,0,정상
LN204790,2024-03-20,1740000,9.13,6,3등급,광주,60대 이상,사업자금,N,0,정상
LN204208,2024-10-22,1400000,18.03,60,6등급,대구,20대,의료비,Y,32,연체
LN200732,2025-05-30,780000,21.34,24,7등급,대전,20대,의료비,Y,10,연체
LN200620,2024-11-20,5080000,15.79,48,5등급,전남,30대,생활자금,N,0,정상
LN200728,2024-02-06,1290000,11.01,36,3등급,전북,30대,의료비,N,0,상환중
LN202393,2024-12-30,1010000,18.92,36,6등급,부산,60대 이상,생활자금,N,0,상환중
LN203652,2025-04-07,1030000,8.26,6,3등급,충남,20대,생활자금,N,0,상환중
LN200362,2025-05-13,2440000,12.87,60,4등급,세종,30대,사업자금,N,0,정상
LN203632,2024-09-26,1040000,18.55,24,6등급,제주,60대 이상,사업자금,Y,67,연체
LN200729,2025-04-26,3320000,7.66,12,3등급,경북,60대 이상,기타,N,0,상환중
LN200375,2024-08-16,2130000,7.63,12,3등급,서울,40대,사업자금,N,0,상환중
LN200774,2024-05-31,4710000,13.46,36,,,30대,,Y,30,연체
LN200100,2024-08-08,1050000,19.2,48,6등급,충남,30대,주거자금,N,0,상환중
LN203915,2024-07-27,1920000,10.05,6,4등급,경북,50대,교육비,Y,81,연체
LN205900,2024-06-24,1880000,5.97,48,1등급,대전,30대,주거자금,N,0,완제
LN201316,2024-07-21,2300000,6.56,12,1등급,제주,50대,의료비,N,0,상환중
LN200621,2024-04-21,2720000,12.53,60,4등급,강원,20대,교육비,N,0,상환중
LN202070,2025-03-01,2060000,16.86,6,6등급,경남,40대,기타,N,0,상환중
LN200027,2024-06-19,3620000,5.63,36,1등급,경남,20대,교육비,N,0,정상상환
LN205106,2024-09-23,2500000,15.97,6,5등급,경기,40대,채무상환,N,0,정상
LN205401,2025-03-20,1850000,19.46,60,6등급,부산,60대 이상,교육비,N,0,정상
LN204474,2025-01-13,1660000,16.41,60,5등급,경기,50대,사업자금,N,0,상환중
LN204047,2024-04-25,1890000,20.42,48,7등급,경북,50대,채무상환,N,0,정상
LN201358,2024-08-17,1560000,7.48,24,3등급,세종,30대,채무상환,N,0,완제
LN202623,2024-07-12,1810000,14.87,24,5등급,전남,20대,의료비,N,0,완제
LN201449,2024-12-15,2880000,3.21,6,1등급,서울특별시,30대,의료비,N,0,완제
LN202016,2024-07-25,2840000,12.76,60,4등급,세종,20대,채무상환,N,0,정상
LN201947,2025-06-03,750000,13.42,12,4등급,대전,30대,사업자금,N,0,상환중
LN203608,2024-05-20,3050000,,24,,,30대,,N,0,정상상환
LN202895,2025-02-23,1590000,9.34,24,4등급,,30대,,N,0,정상
LN201892,2024-01-22,3490000,20.49,48,7등급,충북,50대,사업자금,N,0,정상상환
LN203563,2024-04-01,1110000,12.94,48,4등급,대전,30대,교육비,N,0,완제
LN205175,2024-03-31,5540000,5.56,24,2등급,전남,30대,의료비,N,0,상환중
LN202510,2025-02-21,3460000,15.1,24,5등급,서울,60대 이상,채무상환,Y,1,연체
LN203038,2024-11-14,2170000,11.4,24,3등급,전북,60대 이상,채무상환,N,0,완제
LN204770,2024-10-11,2450000,10.96,48,4등급,광주,40대,의료비,N,0,정상상환
LN205206,2024-08-09,1530000,11.57,48,4등급,전남,30대,기타,N,0,완제
LN204407,2024-03-10,1920000,10.04,60,3등급,강원,20대,기타,Y,108,상각
LN201992,2025-01-02,4400000,15.94,48,5등급,경북,30대,교육비,N,0,상환중
LN201800,2024-12-10,2340000,19.73,6,7등급,경기,30대,의료비,N,0,상환중
LN200079,2024-10-16,970000,6.44,24,2등급,경북,40대,기타,N,0,정상
LN205473,2024-01-22,1290000,18.52,36,5등급,인천,40대,교육비,N,0,상환중
LN203984,2024-11-29,1250000,9.95,60,3등급,세종,30대,교육비,N,0,상환중
LN202379,2024-06-16,6070000,6.32,12,1등급,광주,60대 이상,의료비,N,0,정상
LN202664,2024-07-09,1660000,17.84,12,6등급,경남,40대,의료비,N,0,완제
LN202615,2024-03-21,2190000,5.33,12,1등급,부산,20대,의료비,N,0,완제
LN204657,2025-05-31,2900000,18.53,60,6등급,인천,30대,교육비,N,0,정상상환
LN202305,2024-07-24,2060000,4.97,48,,,50대,,N,0,상환중
LN203573,2025-01-02,2420000,12.74,36,4등급,전남,60대 이상,의료비,N,0,정상
LN201014,2025-01-30,1250000,16.25,12,5등급,부산,40대,의료비,N,0,상환중
LN205462,2024-05-29,1700000,12.11,36,4등급,충남,30대,채무상환,N,0,완제
LN204058,2024-06-25,2010000,7.83,60,3등급,충북,30대,채무상환,N,0,상환중
LN202397,2024-01-28,3240000,15.78,36,5등급,,30대,,N,0,정상상환
LN202746,2024-03-11,3880000,12.94,60,4등급,경북,20대,기타,N,0,정상
LN204714,2025-05-22,6850000,9.17,6,3등급,제주,20대,의료비,N,0,상환중
LN203962,2025-04-26,5150000,10.46,48,3등급,충남,40대,생활자금,N,0,정상
LN203719,2024-02-10,2240000,8.25,12,3등급,인천,30대,의료비,N,0,정상
LN205931,2024-04-27,2260000,18.26,12,6등급,전남,20대,사업자금,Y,22,연체
LN205108,2024-03-31,7350000,12.93,36,,,30대,,N,0,정상상환
LN200535,2024-01-22,7110000,7.73,24,2등급,경남,40대,채무상환,N,0,정상
LN201209,2024-01-21,1540000,9.61,12,3등급,경기,30대,채무상환,N,0,정상
LN204490,2025-06-04,1390000,22.89,24,7등급,인천,50대,채무상환,N,0,정상
LN202150,2024-01-27,2170000,5.68,60,2등급,서울,30대,의료비,N,0,상환중
LN201429,2025-03-21,5830000,10.71,6,4등급,세종,30대,사업자금,N,0,상환중
LN205235,2024-03-16,3790000,12.32,36,4등급,경남,50대,생활자금,Y,14,연체
LN200215,2024-01-02,970000,7.26,12,3등급,충남,50대,의료비,N,0,정상
LN202429,2025-06-02,760000,6.26,24,2등급,대구,50대,주거자금,N,0,상환중
LN202778,2024-09-13,930000,20.51,6,7등급,경기,50대,채무상환,N,0,상환중
LN205226,2024-12-26,3520000,11.12,12,4등급,강원,40대,기타,N,0,정상상환
LN203473,2024-11-01,14940000,8.36,24,4등급,경북,30대,교육비,N,0,정상상환
LN201239,2024-11-17,1200000,18.67,60,6등급,충북,50대,교육비,Y,15,연체
LN201905,2025-04-17,930000,9.02,36,3등급,충남,50대,교육비,Y,29,연체
LN201175,2025-03-30,1640000,13.82,24,5등급,충북,30대,,Y,2,연체
LN202009,2024-12-15,690000,6.12,48,1등급,광주,40대,생활자금,N,0,정상상환
LN202002,2024-03-02,2370000,14.87,12,5등급,대구,40대,교육비,N,0,상환중
LN205762,2025-02-04,1130000,5.95,12,1등급,강원,50대,의료비,N,0,정상
LN200984,2024-04-29,3030000,6.13,48,2등급,전남,20대,채무상환,N,0,정상
LN204023,2024-07-30,500000,10.29,6,4등급,강원,30대,기타,N,0,정상상환
LN203703,2024-01-29,2060000,7.74,48,2등급,대전,30대,주거자금,N,0,완제
LN201984,2024-06-03,5190000,5.39,24,1등급,충북,60대 이상,사업자금,N,0,정상상환
LN205407,2025-03-29,1260000,19.94,48,7등급,울산,40대,교육비,아니오,0,완제
LN204026,2025-04-19,2460000,16.98,48,5등급,인천,30대,교육비,N,0,완제
LN200891,2024-09-27,790000,10.5,48,,,40대,,Y,20,연체
LN204846,2024-08-16,1960000,7.34,12,2등급,광주,40대,의료비,N,0,상환중
LN201228,2024-04-28,5940000,19.11,6,,,40대,,N,0,상환중
LN204550,2025-04-02,1240000,5.96,60,2등급,서울,30대,생활자금,N,0,상환중
LN205716,2025-01-26,2030000,9.24,12,3등급,충북,30대,생활자금,N,0,정상
LN202208,2024-07-08,1660000,6.4,24,2등급,,60대 이상,,N,0,정상
LN201139,2025-03-01,1010000,,12,,,30대,,N,0,상환중
LN201357,2024-05-04,910000,9.62,60,3등급,강원,30대,주거자금,N,0,정상상환
LN202557,2024-04-04,2510000,20.8,24,7등급,광주,60대 이상,생활자금,N,0,상환중
LN204168,2024-11-27,5940000,14.17,12,4등급,광주,50대,생활자금,N,0,상환중
LN200085,2025-05-10,1600000,7.26,24,2등급,전북,30대,기타,N,0,완제
LN201693,2025-03-16,4830000,19.86,60,7등급,대전,20대,채무상환,N,0,상환중
LN205684,2024-07-02,1000000,17.52,48,6등급,서울,30대,기타,N,0,상환중
LN200550,2025-02-10,1160000,10.53,12,3등급,부산,60대 이상,교육비,N,0,상환중
LN201207,2024-04-26,2180000,,48,,,30대,,N,0,상환중
LN203033,2024-11-14,2130000,19.03,12,6등급,전남,40대,생활자금,N,0,정상
LN204299,2025-05-23,2330000,19.83,60,6등급,대구,20대,사업자금,N,0,상환중
LN205500,2025-05-05,2340000,9.19,36,3등급,전남,30대,채무상환,N,0,상환중
LN201321,2025-02-25,1220000,10.67,12,3등급,부산,20대,기타,N,0,상환중
LN202062,2024-10-06,5120000,12.22,24,4등급,경북,30대,채무상환,N,0,완제
LN202857,2024-09-29,2020000,20.04,60,6등급,울산,20대,채무상환,Y,35,연체
LN200324,2024-03-21,1250000,9.06,60,2등급,전북,60대 이상,채무상환,N,0,상환중
LN203248,2024-03-11,1310000,17.52,36,6등급,경북,40대,주거자금,N,0,완제
LN200136,2024-08-02,1030000,14.77,24,5등급,경북,30대,교육비,N,0,완제
LN205168,2025-04-23,1850000,12.13,6,4등급,경북,40대,생활자금,N,0,상환중
LN202316,2024-11-13,4860000,3.0,6,1등급,전남,20대,,N,0,정상상환
LN205388,2024-05-23,2600000,18.33,12,6등급,경북,30대,기타,Y,10,연체
LN204438,2024-04-10,1490000,11.9,48,4등급,제주,40대,채무상환,N,0,상환중
LN205440,2025-02-07,4980000,10.98,36,4등급,전북,60대 이상,의료비,N,0,정상
LN202494,2024-01-15,1580000,8.86,60,3등급,대전,30대,생활자금,N,0,상환중
LN200405,2024-05-03,3220000,11.25,24,4등급,세종,30대,기타,N,0,상환중
LN204504,2024-09-17,660000,10.58,12,4등급,전남,20대,생활자금,N,0,정상상환
LN204139,2024-01-26,3750000,11.57,24,4등급,울산,30대,기타,N,0,정상
LN203598,2025-01-09,1730000,9.79,60,3등급,전북,20대,교육비,N,0,상환중
LN200701,2024-12-30,1380000,5.83,60,2등급,전북,40대,사업자금,N,0,상환중
LN203890,2024-06-23,1380000,10.96,36,3등급,세종,40대,주거자금,N,0,상환중
LN203800,2024-02-17,5040000,13.4,6,5등급,대전,40대,생활자금,N,0,정상상환
LN204188,2024-08-23,1420000,6.15,12,1등급,충북,50대,의료비,N,0,정상
LN205237,2024-03-04,3670000,19.87,48,6등급,,30대,,N,0,정상
LN203176,2025-02-11,9560000,7.04,6,1등급,전북,20대,기타,N,0,정상상환
LN205115,2024-07-30,1500000,19.59,36,7등급,부산,50대,채무상환,N,0,완제
LN203089,2025-06-17,1140000,18.35,60,6등급,대구,30대,사업자금,Y,19,연체
LN204162,2025-05-19,640000,16.24,12,6등급,전남,60대 이상,채무상환,N,0,정상
LN205880,2024-06-14,2000000,13.97,12,5등급,경남,40대,사업자금,N,0,정상
LN201309,2024-08-23,5290000,,24,,,40대,,아니오,0,상환중
LN203953,2024-11-24,3900000,16.7,24,5등급,세종,40대,사업자금,N,0,정상상환
LN203578,2024-03-21,1660000,5.98,24,2등급,경북,30대,의료비,N,0,정상
LN203975,2024-06-02,5560000,11.57,6,4등급,대전,40대,사업자금,N,0,상환중
LN204367,2024-09-26,1420000,8.3,36,2등급,부산,20대,사업자금,N,0,상환중
LN200448,2025-05-11,930000,18.88,36,7등급,세종,20대,사업자금,N,0,정상상환
LN203065,2024-03-11,2390000,5.36,12,2등급,,20대,,N,0,상환중
LN204279,2025-06-04,2290000,18.63,36,6등급,경북,40대,주거자금,Y,100,상각
LN202086,2024-07-08,2510000,7.08,48,3등급,부산,30대,의료비,N,0,상환중
LN202425,2024-01-14,1920000,16.16,48,5등급,경기,30대,사업자금,N,0,정상
LN203353,2025-04-17,6850000,6.63,24,2등급,제주,30대,채무상환,N,0,완제
LN205724,2024-05-22,1580000,9.4,60,4등급,충남,30대,교육비,N,0,상환중
LN202389,2025-04-19,12950000,20.62,60,6등급,세종,40대,주거자금,Y,71,연체
LN202667,2024-05-01,2730000,9.16,12,3등급,광주,50대,교육비,N,0,완제
LN202933,2025-01-06,4400000,13.71,60,4등급,부산,30대,교육비,N,0,정상상환
LN202188,2024-05-11,2790000,19.46,12,6등급,제주,30대,주거자금,N,0,정상
LN200096,2025-02-03,4670000,7.09,12,2등급,서울,50대,교육비,N,0,완제
LN203548,2024-01-29,1810000,19.96,60,6등급,인천,60대 이상,의료비,N,0,상환중
LN203160,2024-08-15,2100000,17.1,6,6등급,경북,60대 이상,생활자금,Y,40,연체
LN204268,2024-05-11,3000000,5.41,12,2등급,울산,40대,생활자금,N,0,상환중
LN203586,2025-03-06,4790000,9.56,24,3등급,충남,60대 이상,생활자금,N,0,상환중
LN205478,2024-06-17,4120000,6.1,12,2등급,경기,40대,채무상환,N,0,완제
LN202728,2025-01-24,7270000,11.27,24,4등급,전북,40대,기타,N,0,상환중
LN203615,2024-07-03,710000,10.52,12,3등급,경남,40대,기타,N,0,상환중
LN202076,2024-08-09,6900000,,36,,,20대,,N,0,정상상환
LN201912,2024-08-12,1370000,11.56,6,3등급,충남,30대,기타,N,0,상환중
LN205127,2024-12-05,1920000,8.25,36,3등급,경남,60대 이상,교육비,N,0,완제
LN200786,2024-12-05,1490000,7.38,36,2등급,광주,30대,사업자금,N,0,정상
LN204795,2025-03-29,3020000,8.57,24,3등급,충남,50대,교육비,N,0,완제
LN200479,2025-04-27,1300000,12.71,48,4등급,전북,50대,주거자금,N,0,상환중
LN205037,2024-10-04,2540000,15.9,24,5등급,인천,20대,주거자금,N,0,정상
LN204693,2024-08-13,4030000,18.48,48,6등급,충북,40대,기타,Y,144,채무불이행
LN201937,2024-06-23,1760000,9.35,6,3등급,울산,60대 이상,생활자금,N,0,정상
LN204472,2025-03-05,970000,12.21,60,4등급,충남,40대,채무상환,N,0,완제
LN202948,2024-09-28,660000,12.06,6,4등급,충북,40대,교육비,N,0,정상상환
LN205655,2025-03-25,2430000,3.73,24,1등급,경기,50대,사업자금,N,0,정상
LN203682,2025-04-12,2790000,4.48,12,1등급,제주,40대,의료비,N,0,정상상환
LN200703,2024-03-14,5590000,11.53,24,3등급,대구,30대,사업자금,N,0,상환중
LN205356,2025-03-30,8330000,7.49,12,2등급,전남,30대,채무상환,N,0,정상
LN202544,2025-01-13,3860000,11.44,12,4등급,인천,50대,교육비,N,0,완제
LN205124,2025-03-18,7080000,8.22,6,3등급,울산,30대,사업자금,N,0,상환중
LN200272,2024-09-03,1430000,5.87,24,2등급,세종,50대,교육비,N,0,정상
LN203597,2024-02-12,6790000,17.5,36,6등급,대전,40대,사업자금,N,0,상환중
LN200259,2024-12-27,910000,7.75,36,2등급,제주,30대,기타,N,0,상환중
LN205173,2024-08-08,3370000,13.49,6,4,울산,20대,주거자금,N,0,정상
LN202050,2025-06-17,2160000,18.81,12,6등급,제주,30대,사업자금,Y,33,연체
LN202317,2024-03-19,3970000,19.07,6,7등급,충북,40대,교육비,N,0,정상상환
LN205177,2024-06-17,780000,17.41,24,5등급,인천,40대,교육비,N,0,상환중
LN204742,2024-08-05,2190000,6.66,48,2등급,충북,40대,주거자금,N,0,상환중
LN200861,2024-08-17,1330000,11.73,12,4등급,,30대,,N,0,정상
LN204505,2025-06-17,1880000,20.02,12,7등급,경남,20대,생활자금,N,0,정상
LN205436,2024-05-25,2030000,14.64,24,5등급,인천,20대,기타,N,0,상환중
LN200779,2024-06-13,1180000,13.92,36,5등급,인천,20대,주거자금,N,0,상환중
LN203933,2025-06-02,1580000,9.5,24,3등급,대구,20대,사업자금,N,0,정상상환
LN205554,2025-05-14,2720000,5.35,60,1등급,경기,30대,사업자금,N,0,정상
LN205754,2024-07-25,4270000,8.18,12,3등급,경남,30대,교육비,N,0,상환중
LN201151,2024-11-19,3040000,14.06,6,,,20대,,N,0,상환중
LN204074,2024-03-01,2920000,12.82,36,4등급,광주,30대,교육비,N,0,정상
LN201251,2025-03-26,3920000,11.57,24,3등급,충남,40대,채무상환,N,0,정상
LN200455,2024-07-19,1010000,6.58,24,2등급,충북,20대,교육비,N,0,상환중
LN203638,2024-08-31,3620000,7.06,12,2등급,경북,40대,사업자금,N,0,상환중
LN200999,2024-12-18,2530000,5.92,24,1등급,충남,30대,의료비,N,-1,정상
LN203724,2024-01-04,11840000,3.93,24,1,전북,30대,생활자금,N,0,정상
LN202869,2025-01-26,6760000,8.45,6,3등급,충북,30대,기타,N,0,정상상환
LN202059,2025-03-28,1970000,18.88,24,6등급,충남,20대,채무상환,N,0,완제
LN200394,2024-08-27,2950000,8.48,12,3등급,대전,20대,의료비,N,0,정상
LN204203,2024-09-18,2120000,6.4,60,2등급,광주,60대 이상,주거자금,N,0,완제
LN204454,2024-07-15,500000,8.17,12,2등급,경남,60대 이상,의료비,N,0,상환중
LN200799,2024-02-10,2250000,14.1,48,5등급,인천,30대,의료비,N,0,상환중
LN205819,2025-01-16,1260000,8.88,48,3등급,충남,30대,채무상환,N,0,상환중
LN205800,2024-06-11,3770000,11.65,24,3등급,부산,40대,교육비,N,0,상환중
LN201438,2024-02-07,3030000,22.21,24,7등급,제주,50대,의료비,N,0,정상상환
LN204529,2024-06-03,1840000,10.67,6,3등급,대전,40대,의료비,N,0,정상
LN202614,2024-02-13,1010000,12.09,6,4등급,경기,60대 이상,생활자금,N,0,정상상환
LN201157,2025-06-11,2340000,,24,,,30대,,N,0,상환중
LN202244,2024-05-22,500000,8.95,24,3등급,경남,30대,생활자금,N,0,정상
LN202372,2024-05-27,5260000,6.19,24,2등급,경남,30대,기타,N,0,완제
LN200154,2024-09-05,760000,14.24,60,5등급,충북,30대,사업자금,N,0,정상
LN205471,2025-03-20,810000,11.75,12,4등급,충북,40대,주거자금,Y,19,연체
LN203657,2025-05-06,2290000,7.32,36,2등급,세종,20대,교육비,N,0,상환중
LN201564,2025-01-01,500000,8.92,60,3등급,경남,30대,생활자금,N,0,정상
LN201971,2024-08-14,0,10.37,6,3등급,전북,20대,교육비,N,0,상환중
LN205393,2025-04-24,1870000,5.17,36,1등급,충남,40대,주거자금,N,0,정상
LN205381,2025-06-23,4690000,4.5,24,2등급,부산,30대,기타,N,0,정상상환
LN205660,2024-01-09,8010000,9.52,60,3등급,충북,40대,주거자금,N,0,정상상환
LN201982,2024-02-02,2500000,20.89,12,6등급,부산,30대,생활자금,N,0,정상
LN200565,2025-04-22,1460000,11.22,24,3등급,강원,20대,사업자금,N,0,상환중
LN204261,2024-02-20,1210000,20.44,12,7등급,충북,20대,사업자금,N,0,완제
LN203958,2025-03-22,2850000,7.1,36,3등급,울산,60대 이상,생활자금,N,0,정상상환
LN204198,2024-11-02,1840000,13.7,24,5등급,충북,40대,생활자금,Y,71,연체
LN204630,2024-11-11,1930000,6.53,48,2등급,강원,50대,생활자금,N,0,정상상환
LN204801,2024-11-16,4670000,18.52,6,6등급,충남,40대,교육비,N,0,정상상환
LN204098,2024-01-21,3140000,18.91,6,6등급,전남,20대,채무상환,N,0,정상상환
LN204552,2024-10-03,3410000,19.27,60,7등급,울산,30대,교육비,N,0,정상
LN205384,2024-09-21,1980000,13.45,36,4등급,울산,30대,채무상환,N,0,완제
LN203605,2025-04-26,5820000,11.31,24,3등급,전북,20대,생활자금,N,0,정상상환
LN200736,2024-08-11,4980000,15.69,24,5등급,대전,40대,교육비,N,0,정상
LN200834,2024-09-25,2090000,11.59,60,4등급,충북,40대,의료비,Y,9,연체
LN200396,2025-01-06,2150000,9.18,12,3등급,강원,30대,사업자금,N,0,상환중
LN201019,2024-10-05,2660000,10.13,60,4등급,충남,50대,생활자금,N,0,정상
LN205344,2024-04-27,4330000,6.2,24,2등급,광주,20대,사업자금,N,0,정상
LN200751,2025-01-09,5510000,13.97,24,4등급,강원,40대,채무상환,N,0,상환중
LN201950,2025-06-19,3820000,12.34,12,4등급,울산,50대,기타,N,0,정상상환
LN204646,2025-02-18,4360000,7.21,24,2등급,대구,20대,주거자금,N,0,상환중
LN203919,2024-11-11,10390000,17.21,48,5등급,인천,20대,사업자금,N,0,정상
LN203785,2025-02-11,500000,6.28,12,2등급,대전,30대,주거자금,N,0,상환중
LN200651,2024-04-30,9630000,13.9,12,5등급,전남,30대,교육비,N,0,상환중
LN202189,2024-05-09,3390000,9.08,24,3등급,강원,30대,교육비,N,0,상환중
LN202391,2024-09-18,4040000,6.86,24,2등급,경기,50대,생활자금,N,0,완제
LN204434,2024-09-12,2070000,12.09,60,4등급,경기,60대 이상,교육비,N,0,상환중
LN201960,2025-01-08,3490000,6.69,6,2등급,전남,30대,주거자금,N,0,정상
LN204264,2025-04-28,900000,12.87,60,4등급,부산광역시,20대,의료비,Y,57,연체
LN201278,2024-04-25,4570000,17.5,24,6등급,경남,40대,채무상환,N,0,완제
LN204976,2025-04-17,2150000,15.64,48,5등급,대구,50대,사업자금,N,0,정상
LN201542,2024-12-08,1650000,6.34,48,1등급,대전,30대,의료비,N,0,상환중
LN202658,2024-07-23,4250000,5.37,12,2등급,부산,30대,채무상환,N,0,정상
LN200653,2025-04-30,1940000,8.0,24,3등급,대전,30대,채무상환,N,0,정상
LN201305,2025-01-06,990000,4.75,60,,,40대,,N,0,상환중
LN204084,2024-07-16,2410000,10.63,24,3등급,제주,30대,교육비,N,0,상환중
LN205791,2024-10-02,4180000,18.6,48,6등급,경기,30대,주거자금,Y,1,연체
LN205847,2024-03-03,2360000,11.61,24,4등급,울산,30대,주거자금,N,0,정상
LN202129,2024-04-23,530000,5.97,12,2등급,충북,50대,기타,Y,5,연체
LN204002,2025-06-05,2280000,8.53,60,2등급,서울,20대,교육비,N,0,정상상환
LN204466,2024-10-07,3180000,16.31,24,5등급,부산,50대,사업자금,N,0,완제
LN201131,2025-03-06,2440000,15.36,24,5등급,서울,30대,기타,N,0,정상
LN205856,2024-02-27,900000,7.66,24,1등급,충북,20대,채무상환,N,0,상환중
LN201111,2024-02-03,1210000,6.01,6,2등급,경남,20대,생활자금,N,0,상환중
LN200385,2024-05-29,2630000,16.71,12,5등급,인천,20대,채무상환,Y,46,연체
LN200898,2024-09-19,6400000,9.97,24,3등급,전남,50대,사업자금,N,0,정상
LN204993,2025-03-08,3560000,8.12,24,3등급,전남,30대,의료비,N,0,상환중
LN201354,2025-03-29,1430000,4.38,48,1등급,경기,60대 이상,생활자금,N,0,상환중
LN201755,2025-05-27,2060000,13.35,60,4등급,강원,20대,교육비,N,0,정상상환
LN200686,2025-03-19,2940000,5.96,48,2등급,전북,40대,채무상환,N,0,정상상환
LN200902,2024-03-13,860000,14.58,12,5등급,경북,20대,주거자금,N,0,상환중
LN200404,2024-05-04,3510000,11.25,60,4등급,울산,20대,의료비,N,0,정상
LN202823,2024-02-20,3040000,6.84,24,2등급,경북,40대,사업자금,N,0,상환중
LN200720,2024-03-20,2050000,8.91,12,3등급,대구,20대,기타,N,0,상환중
LN203587,2025-05-02,6360000,8.33,6,2등급,경남,40대,교육비,N,0,상환중
LN203267,2024-02-10,2560000,19.23,60,7등급,전북,50대,생활자금,N,0,정상
LN200737,2024-04-17,1700000,5.94,24,1등급,전북,40대,주거자금,N,0,상환중
LN203932,2025-05-31,1270000,18.69,60,6등급,세종,30대,사업자금,N,0,정상
LN204209,2024-03-25,3580000,14.83,48,5등급,경기,20대,의료비,Y,10,연체
LN200832,2025-03-28,7030000,13.11,24,4등급,인천,40대,생활자금,N,0,상환중
LN205391,2025-01-06,2720000,12.62,36,4등급,서울,50대,교육비,N,0,상환중
LN204760,2024-02-24,900000,7.48,12,2등급,충남,50대,생활자금,N,0,상환중
LN202908,2024-08-21,9280000,5.97,12,1,부산,50대,생활자금,N,0,상환중
LN203132,2025-04-08,1590000,9.64,48,3등급,전북,40대,생활자금,N,0,상환중
LN201761,2024-08-09,3500000,10.81,60,4등급,부산,60대 이상,사업자금,N,0,상환중
LN201053,2024-07-27,1890000,17.95,48,5등급,경남,20대,사업자금,N,0,상환중
LN203697,2024-06-07,1650000,15.75,24,5등급,부산광역시,40대,채무상환,N,0,완제
LN204230,2024-08-26,9770000,18.17,24,6등급,광주,30대,의료비,Y,28,연체
LN203987,2025-05-21,730000,19.12,24,6등급,광주,20대,교육비,N,0,상환중
LN204089,2024-06-17,3360000,7.7,48,2등급,경북,30대,주거자금,N,0,정상
LN205187,2024-08-20,3970000,13.03,36,4등급,울산,30대,채무상환,N,0,완제
LN203874,2025-04-17,1680000,8.53,12,3등급,경기,20대,사업자금,N,0,정상상환
LN203369,2024-11-17,2970000,10.99,6,3등급,충남,30대,채무상환,N,0,완제
LN203413,2024-08-26,1810000,18.53,24,6등급,경기,20대,채무상환,N,0,정상
LN203723,2024-01-23,5740000,12.25,24,4등급,광주,60대 이상,채무상환,N,0,정상
LN201335,2024-05-12,3780000,17.06,12,6등급,충남,30대,기타,N,0,정상상환
LN205840,2024-06-01,2920000,18.03,24,6등급,광주,30대,교육비,N,0,정상상환
LN204729,2024-02-27,1760000,11.52,48,4등급,경기,30대,의료비,N,0,상환중
LN204579,2025-05-24,2900000,5.85,48,2등급,광주,30대,생활자금,N,0,완제
LN204727,2024-11-16,830000,8.3,6,3등급,강원,50대,의료비,N,0,정상상환
LN200973,2024-01-08,1180000,9.83,12,3등급,대전,50대,주거자금,N,0,상환중
LN204855,2025-02-07,830000,7.75,36,2등급,전남,20대,채무상환,N,0,상환중
LN204950,2025-03-16,1610000,9.83,60,4등급,세종,40대,생활자금,N,0,정상상환
LN200773,2024-11-07,1180000,7.55,36,2등급,전남,20대,사업자금,N,0,완제
LN200814,2024-03-20,1720000,12.07,36,4등급,세종,50대,의료비,N,0,완제
LN201274,2024-03-21,5450000,,6,,,20대,,N,0,정상상환
LN200484,2024-06-18,4880000,18.99,24,6등급,부산,60대 이상,교육비,N,0,상환중
LN204403,2024-11-15,6260000,11.32,12,4등급,경기,60대 이상,사업자금,N,0,정상
LN202265,2024-11-01,1700000,4.27,24,1등급,충남,20대,의료비,N,0,상환중
LN204939,2024-03-08,12810000,7.73,24,2등급,경기,30대,채무상환,N,0,정상상환
LN204287,2024-07-20,930000,5.82,12,2등급,제주,20대,교육비,N,0,정상
LN203426,2024-01-02,4460000,10.57,48,3등급,경북,30대,생활자금,N,0,정상
LN202853,2025-02-20,5910000,6.67,36,1등급,충북,60대 이상,교육비,N,0,정상상환
LN203270,2024-12-28,6360000,11.67,12,4등급,경북,30대,사업자금,N,0,완제
LN200458,2024-06-02,5120000,14.43,36,5등급,광주,20대,교육비,N,0,상환중
LN201419,2024-10-17,810000,,60,,,40대,,N,0,상환중
LN201446,2025-04-17,9170000,15.63,48,5등급,인천,20대,주거자금,N,0,정상
LN200683,2024-03-16,2010000,9.6,12,3등급,광주,20대,사업자금,N,0,정상상환
LN201189,2024-01-14,1960000,10.26,12,4등급,경기도,20대,의료비,N,0,상환중
LN203418,2025-01-03,1150000,5.66,12,2등급,경남,30대,교육비,N,0,완제
LN200599,2024-04-24,3570000,16.81,12,5등급,대구,40대,교육비,N,0,상환중
LN204257,2025-02-01,870000,8.22,24,3등급,경남,60대 이상,의료비,아니오,0,정상상환
LN201500,2025-05-21,4460000,19.37,36,6등급,부산,30대,의료비,N,0,상환중
LN205117,2025-06-13,920000,14.96,12,5등급,경기,30대,기타,N,0,상환중
